成就ID,前置ID1,前置ID2,前置ID3,前置ID4,图标ID,X轴,Y轴,名称,描述,追踪,组（1新手2主线3生产4战斗5其他）,类型（1普通2账号）,目标（1拾取物品2合成物品3熔炼物品4使用物品5损耗物品6开采物品7击杀生物8繁殖生物9驯服生物10行走距离11游泳距离12摔落距离13攀爬距离14飞行距离15水下移动距离16坐矿车距离17坐船距离18骑猪距离19骑马距离20跳跃次数21死亡次数22物品掉落次数23造成伤害24受到伤害25好友数26转发数27分享地图28星星29获得玫瑰30获得钻石31获得赞32获得皮肤33附魔34进入区域）,组（0不为组1为组）,对象ID,数值,奖励1类型（0道具1星星2钻石）,奖励ID1,数量,奖励2类型（0道具1星星2钻石）,奖励ID2,数量,成就点数
1036,1029,0,0,0,3400,7,5,配种师-喔,用小麦种子繁殖出1只鸡,繁殖#cff6100鸡,3,1,7,,3400,1,,817,5,,,,1
1037,1036,0,0,0,2052,9,5,金蛋银蛋,拾取鸡蛋,获得#cff6100鸡蛋,3,1,1,,2052,1,,817,5,,,,1
1038,1037,0,0,0,2519,11,5,烤鸡,用熔炉制作熟鸡肉,制作#cff6100熟鸡肉,3,1,3,,2519,1,,817,5,,,,1
1039,1029,0,0,0,3403,7,7,配种师-咩,用小麦繁殖出1只羊,繁殖#cff6100羊,3,1,7,,3403,1,,817,5,,,,1
1040,1039,0,0,0,600,9,7,掠夺羊毛,击杀羊或使用剪刀获得羊毛,获得#cff6100羊毛,3,1,1,1,600,1,,817,5,,,,1
1041,1040,0,0,0,616,11,7,羊毛地毯,制作羊毛地毯,制作#cff6100羊毛地毯,3,1,2,1,616,1,,817,5,,,,1
1042,0,0,0,0,303,7,9,爱美之心,拾取花朵,获得#cff6100花朵,3,1,1,1,300,1,,817,5,,,,1
1043,1042,0,0,0,1505,9,9,色彩世界,制作一种染料,制作#cff6100染料,3,1,2,1,1500,1,,817,5,,,,1
1044,1043,0,0,0,614,11,9,嘿，这真好看,制作红色羊毛,制作#cff6100红色羊毛,3,1,2,,614,1,,817,5,,,,1
1045,0,0,0,0,725,9,11,轨道旅行,制作铁轨,制作#cff6100铁轨,3,1,2,,725,1,,817,5,,,,1
1046,1045,0,0,0,3800,11,11,出发！,制作矿车,制作#cff6100矿车,3,1,2,,3800,1,,817,5,,,,1
1047,1032,1035,1038,0,2507,13,3,厨师,完成前置任务，获得厨师称号,制作#cff6100大餐,3,1,2,,2507,1,,817,5,,,,1
1048,1041,1044,1046,0,647,13,9,懂生活,完成前置任务，获得懂生活称号,制作#cff6100红色玻璃,3,1,2,,647,1,,817,5,,,,1
1049,0,0,0,0,3402,15,3,致富靠养猪,繁殖超过1000头猪,繁殖#cff6100猪,3,1,8,,3402,1000,,817,5,,,,1
1050,0,0,0,0,3401,15,5,牛魔王,繁殖超过1000头牛,繁殖#cff6100牛,3,1,8,,3401,1000,,817,5,,,,1
1051,0,0,0,0,3403,15,7,量产羊毛,繁殖超过1000只羊,繁殖#cff6100羊,3,1,8,,3403,1000,,817,5,,,,1
1052,0,0,0,0,3400,15,9,愤怒的小鸡,繁殖超过1000只鸡,繁殖#cff6100鸡,3,1,8,,3400,1000,,817,5,,,,1
1053,1049,1050,1051,1052,2501,17,6,食物链顶端,制作10个金苹果,制作#cff6100金苹果,3,1,1,,2501,1000,,817,5,,,,1
1054,0,0,0,0,2002,1,3,石剑,制作1把石剑,制作#cff6100石剑,4,1,2,0,2002,1,,817,5,,,,1
1055,1054,0,0,0,2003,3,3,更锋利,制作1把铁剑,制作#cff6100铁剑,4,1,2,,2003,1,,817,5,,,,1
1056,1055,0,0,0,2004,5,3,无用废材,制作1把金剑,制作#cff6100金剑,4,1,2,,2004,1,,817,5,,,,1
1057,1056,0,0,0,2005,7,3,削怪如泥,制作1把钻石剑,制作#cff6100钻石剑,4,1,2,,2005,1,,817,5,,,,1
1058,0,0,0,0,2050,5,5,远程打击,制作一把弓箭,制作#cff6100弓箭,4,1,2,,2050,1,,817,5,,,,1
1059,1058,0,0,0,2051,7,5,狙击手的对决,用弓箭在50米外干掉1只骷髅,50米击杀#cff6100骷髅,4,1,7,,3105,1,,817,5,,,,1
1060,0,0,0,0,2201,3,7,皮甲头,制作1顶皮革头盔,制作#cff6100皮革头盔,4,1,2,,2201,1,,817,5,,,,1
1061,1060,0,0,0,2221,5,7,铁甲头,制作1顶铁头盔,制作#cff6100铁头盔,4,1,2,,2221,1,,817,5,,,,1
1062,1061,0,0,0,2241,7,7,钻甲头,制作1顶钻石头盔,制作#cff6100钻石头盔,4,1,2,,2241,1,,817,5,,,,1
1063,0,0,0,0,2202,3,9,皮甲胸,制作1件皮革胸甲,制作#cff6100皮革胸甲,4,1,2,,2202,1,,817,5,,,,1
1064,1063,0,0,0,2222,5,9,铁甲胸,制作1件铁胸甲,制作#cff6100铁胸甲,4,1,2,,2222,1,,817,5,,,,1
1065,1064,0,0,0,2242,7,9,钻甲胸,制作1件钻石胸甲,制作#cff6100钻石胸甲,4,1,2,,2242,1,,817,5,,,,1
1066,0,0,0,0,2203,3,11,皮甲腿,制作1条皮革护腿,制作#cff6100皮革护腿,4,1,2,,2203,1,,817,5,,,,1
1067,1066,0,0,0,2223,5,11,铁甲腿,制作1条铁护腿,制作#cff6100铁护腿,4,1,2,,2223,1,,817,5,,,,1
1068,1067,0,0,0,2243,7,11,钻甲腿,制作1条钻石护腿,制作#cff6100钻石护腿,4,1,2,,2243,1,,817,5,,,,1
1069,0,0,0,0,2204,3,13,皮甲足,制作1双皮革靴子,制作#cff6100皮革护腿,4,1,2,,2204,1,,817,5,,,,1
1070,1069,0,0,0,2224,5,13,铁甲足,制作1双铁靴子,制作#cff6100铁靴子,4,1,2,,2224,1,,817,5,,,,1
1071,1070,0,0,0,2244,7,13,钻甲足,制作1双钻石靴子,制作#cff6100钻石靴子,4,1,2,,2244,1,,817,5,,,,1
1072,1057,1059,0,0,4000,9,4,武器大师,完成前置任务，获得武器大师称号,完成#cff6100武器成就,4,1,0,,,,,817,5,,,,1
1073,1062,1065,1068,1071,4000,9,10,护甲大师,完成前置任务，获得护甲大师称号,完成#cff6100护甲成就,4,1,0,,,,,817,5,,,,1
1074,0,0,0,0,1806,5,1,灌魔武器,给1把武器附魔,附魔#cff6100武器,4,1,33,,,1,,817,5,,,,1
1075,1074,0,0,0,1807,7,1,灌魔护甲,给1件护甲附魔,附魔#cff6100护甲,4,1,33,,,1,,817,5,,,,1
1076,1075,0,0,0,4000,9,1,附魔大师,完成前置任务，获得附魔大师称号,完成#cff6100附魔成就,4,1,0,,,,,817,5,,,,1
1077,1076,1072,1073,0,4000,11,7,赶尽杀绝,干掉999只怪物,杀死#cff6100怪物,4,1,7,,3101,999,,817,5,,,,1
1078,0,0,0,0,3105,13,4,疯狗,干掉200只骷髅,杀死#cff6100骷髅,4,1,7,,3105,200,,817,5,,,,1
1079,0,0,0,0,3501,13,6,末影公敌,干掉100只末影人,杀死#cff6100末影人,4,1,7,,3501,100,,817,5,,,,1
1080,0,0,0,0,3101,13,8,丧尸围城,干掉500只僵尸,杀死#cff6100僵尸,4,1,7,,3101,500,,817,5,,,,1
1081,0,0,0,0,3109,13,10,炸弹狂人,干掉200只爬行者,杀死#cff6100爬行者,4,1,7,,3109,200,,817,5,,,,1
1082,1078,1079,1080,1081,4000,15,7,与神齐名,完成前置任务，获得与神齐名称号,完成#cff6100打怪成就,4,1,0,,,,,817,5,,,,1
1083,0,0,0,0,1012,1,1,勤劳矿工Ⅰ,损耗掉10支石镐,损耗#cff6100石镐,5,1,5,,1012,10,,817,5,,,,1
1084,0,0,0,0,1012,3,1,勤劳矿工Ⅱ,损耗掉100支石镐,损耗#cff6100石镐,5,1,5,,1012,100,,817,5,,,,1
1085,0,0,0,0,1012,5,1,勤劳矿工Ⅲ,损耗掉500支石镐,损耗#cff6100石镐,5,1,5,,1012,500,,817,5,,,,1
1086,0,0,0,0,632,7,1,水晶世界Ⅰ,熔炼50块玻璃,熔炼#cff6100玻璃,5,1,3,,,50,,817,5,,,,1
1087,0,0,0,0,632,9,1,水晶世界Ⅱ,熔炼1000块玻璃,熔炼#cff6100玻璃,5,1,3,,,1000,,817,5,,,,1
1088,0,0,0,0,632,11,1,水晶世界Ⅲ,熔炼5000块玻璃,熔炼#cff6100玻璃,5,1,3,,,5000,,817,5,,,,1
1089,0,0,0,0,1209,1,3,熔炼铁矿Ⅰ,熔炼50份铁锭,熔炼#cff6100铁锭,5,1,3,,1209,50,,817,5,,,,1
1090,0,0,0,0,1209,3,3,熔炼铁矿Ⅱ,熔炼200份铁锭,熔炼#cff6100铁锭,5,1,3,,1209,100,,817,5,,,,1
1091,0,0,0,0,1209,5,3,熔炼铁矿Ⅲ,熔炼1000份铁锭,熔炼#cff6100铁锭,5,1,3,,1209,300,,817,5,,,,1
1092,0,0,0,0,404,7,3,钻石达人Ⅰ,开采10块钻石矿,开采#cff6100钻石,5,1,31,,,1,,817,5,,,,1
1093,0,0,0,0,404,9,3,钻石达人Ⅱ,开采50块钻石矿,开采#cff6100钻石,5,1,31,,,1,,817,5,,,,1
1094,0,0,0,0,404,11,3,钻石达人Ⅲ,开采500块钻石矿,开采#cff6100钻石,5,1,31,,,5,,817,5,,,,1
1095,0,0,0,0,1302,1,5,训狗大师Ⅰ,用骨头驯服1匹狼,驯服#cff6100狼,5,1,9,,3408,1,,817,5,,,,1
1096,0,0,0,0,1302,3,5,训狗大师Ⅱ,用骨头驯服20匹狼,驯服#cff6100狼,5,1,9,,3408,5,,817,5,,,,1
1097,0,0,0,0,1302,5,5,训狗大师Ⅲ,用骨头驯服100匹狼,驯服#cff6100狼,5,1,9,,3408,10,,817,5,,,,1
1098,0,0,0,0,2204,7,5,行者Ⅰ,行走距离累计50公里,行走#cff6100距离,5,1,10,,,50,,817,5,,,,1
1099,0,0,0,0,2224,9,5,行者Ⅱ,行走距离累计100公里,行走#cff6100距离,5,1,10,,,100,,817,5,,,,1
1100,0,0,0,0,2244,11,5,行者Ⅲ,行走距离累计1000公里,行走#cff6100距离,5,1,10,,,300,,817,5,,,,1
1101,0,0,0,0,1013,1,7,不慎跌落Ⅰ,摔落距离累计5公里,攀爬#cff6100距离,5,1,13,,,5,,817,5,,,,1
1102,0,0,0,0,1014,3,7,不慎跌落Ⅱ,摔落距离累计50公里,攀爬#cff6100距离,5,1,13,,,10,,817,5,,,,1
1103,0,0,0,0,1015,5,7,不慎跌落Ⅲ,摔落距离累计500公里,攀爬#cff6100距离,5,1,13,,,50,,817,5,,,,1
1104,0,0,0,0,4,7,7,游泳健将Ⅰ,游泳距离累计5公里,游泳#cff6100距离,5,1,11,,,5,,817,5,,,,1
1105,0,0,0,0,4,9,7,游泳健将Ⅱ,游泳距离累计50公里,游泳#cff6100距离,5,1,11,,,10,,817,5,,,,1
1106,0,0,0,0,4,11,7,游泳健将Ⅲ,游泳距离累计500公里,游泳#cff6100距离,5,1,11,,,50,,817,5,,,,1
1107,0,0,0,0,212,1,9,森林卫士Ⅰ,种植超过10棵树,种植#cff6100树,5,1,4,1,212,10,,817,5,,,,1
1108,0,0,0,0,213,3,9,森林卫士Ⅱ,种植超过100棵树,种植#cff6100树,5,1,4,1,212,100,,817,5,,,,1
1109,0,0,0,0,214,5,9,森林卫士Ⅲ,种植超过1000棵树,种植#cff6100树,5,1,4,1,212,300,,817,5,,,,1
1110,0,0,0,0,2523,7,9,猪排！Ⅰ,吃掉50份熟猪排,吃掉#cff6100熟猪排,5,1,4,,2523,50,,817,5,,,,1
1111,0,0,0,0,2523,9,9,猪排！Ⅱ,吃掉200份熟猪排,吃掉#cff6100熟猪排,5,1,4,,2523,100,,817,5,,,,1
1112,0,0,0,0,2523,11,9,猪排！Ⅲ,吃掉1000份熟猪排,吃掉#cff6100熟猪排,5,1,4,,2523,300,,817,5,,,,1
1113,0,0,0,0,2517,1,11,牛排！Ⅰ,吃掉50份牛排,吃掉#cff6100牛排,5,1,4,,2517,50,,817,5,,,,1
1114,0,0,0,0,2517,3,11,牛排！Ⅱ,吃掉200份牛排,吃掉#cff6100牛排,5,1,4,,2517,100,,817,5,,,,1
1115,0,0,0,0,2517,5,11,牛排！Ⅲ,吃掉1000份牛排,吃掉#cff6100牛排,5,1,4,,2517,300,,817,5,,,,1
1116,0,0,0,0,2519,7,11,烤鸡！Ⅰ,吃掉50份熟鸡肉,吃掉#cff6100熟鸡肉,5,1,4,,2519,50,,817,5,,,,1
1117,0,0,0,0,2519,9,11,烤鸡！Ⅱ,吃掉200份熟鸡肉,吃掉#cff6100熟鸡肉,5,1,4,,2519,100,,817,5,,,,1
1118,0,0,0,0,2519,11,11,烤鸡！Ⅲ,吃掉1000份熟鸡肉,吃掉#cff6100熟鸡肉,5,1,4,,2519,300,,817,5,,,,1
1119,0,0,0,0,2509,1,13,新鲜的牛奶Ⅰ,喝掉10桶牛奶,喝掉#cff6100牛奶,5,1,4,,2509,10,,817,5,,,,1
1120,0,0,0,0,2509,3,13,新鲜的牛奶Ⅱ,喝掉100桶牛奶,喝掉#cff6100牛奶,5,1,4,,2509,50,,817,5,,,,1
1121,0,0,0,0,2509,5,13,新鲜的牛奶Ⅲ,喝掉500桶牛奶,喝掉#cff6100牛奶,5,1,4,,2509,100,,817,5,,,,1
1122,0,0,0,0,600,7,13,咩咩咩Ⅰ,获得50份羊毛,获得#cff6100羊毛,5,1,1,,600,50,,817,5,,,,1
1123,0,0,0,0,600,9,13,咩咩咩Ⅱ,获得200份羊毛,获得#cff6100羊毛,5,1,1,,600,100,,817,5,,,,1
1124,0,0,0,0,600,11,13,咩咩咩Ⅲ,获得1000份羊毛,获得#cff6100羊毛,5,1,1,,600,300,,817,5,,,,1
1125,0,0,0,0,505,1,15,圆石粉碎机Ⅰ,敲掉100颗圆石,敲掉#cff6100圆石,5,1,6,,505,100,,817,5,,,,1
1126,0,0,0,0,505,3,15,圆石粉碎机Ⅱ,敲掉1000颗圆石,敲掉#cff6100圆石,5,1,6,,505,500,,817,5,,,,1
1127,0,0,0,0,505,5,15,圆石粉碎机Ⅲ,敲掉5000颗圆石,敲掉#cff6100圆石,5,1,6,,505,1000,,817,5,,,,1
1128,0,0,0,0,817,7,15,我怕黑Ⅰ,制作50支火把,制作#cff6100火把,5,1,2,,817,50,,817,5,,,,1
1129,0,0,0,0,817,9,15,我怕黑Ⅱ,制作200支火把,制作#cff6100火把,5,1,2,,817,100,,817,5,,,,1
1130,0,0,0,0,817,11,15,我怕黑Ⅲ,制作1000支火把,制作#cff6100火把,5,1,2,,817,300,,817,5,,,,1
1131,0,0,0,0,816,1,17,死神小学生Ⅰ,死亡1次,#cff6100死亡,5,1,21,,,1,,817,5,,,,1
1132,0,0,0,0,816,3,17,死神小学生Ⅱ,死亡100次,#cff6100死亡,5,1,21,,,100,,817,5,,,,1
1133,0,0,0,0,816,5,17,死神小学生Ⅲ,死亡500次,#cff6100死亡,5,1,21,,,500,,817,5,,,,1
